F5_6,F5_107,F5_54,F5_36,F5_37,F5_39,F5_55,ARPT_NAME,CITY,ST_PR,J5_3,J5_5,J5_6,J5_7,J5_8,J5_10,PRECISION,J5_12,J5_39,J5_14,J5_15,F5_14,F5_179,F5_197,CHRT_IDX,CLNK_IDX
00R,,3700,N30410910,W095010450,E005.1,151,LIVINGSTON MUN,LIVINGSTON,TX,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,1,1
00U,,4400,N45443980,W107393760,E010.0,3025,BIG HORN CO,HARDIN,MT,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+7:00=UTC,K1,Y,NAW,3,2
02A,,4000,N32510174,W086364116,W004.0,585,CHILTON CO,CLANTON,AL,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,,N,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,5,3
02G,,3500,N40402390,W080382910,W008.0,1161,COLUMBIANA CO,EAST LIVERPOOL,OH,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,N,N,N,Y,N,Y,+5:00=UTC,K5,Y,NAW,9,5
03D,,3300,N40265010,W092133700,E003.0,813,MEMPHIS MEML,MEMPHIS,MO,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,12,6
04W,,2700,N46012258,W092534280,E000.0,1021,FIELD OF DREAMS,HINCKLEY,MN,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,Y,N,N,Y,N,Y,+6:00=UTC,K3,Y,NAW,15,8
04Y,,3300,N46530160,W096210220,E005.0,1210,HAWLEY MUN,HAWLEY,MN,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,17,9
05C,,4800,N41311143,W087235823,W003.0,634,GRIFFITH-MERRILLVILLE,GRIFFITH,IN,USA,YNNNNNNNNNNNNN,NNYNY,NNYY,N,N,N,Y,U,Y,+6:00=UTC,K5,Y,NAW,20,11
05D,,3400,N47580428,W102284122,E007.0,1924,NEW TOWN MUN,NEW TOWN,ND,USA,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,N,N,U,Y,+6:00=UTC,K3,Y,NAW,27,16
05U,EUE,7300,N39361350,W116001300,E013.0,5958,EUREKA,EUREKA,NV,USA,NNNYNNNNYNYNNN,NNNNN,NNNN,,N,N,Y,N,Y,+8:00=UTC,K2,Y,NAW,30,18
06A,,5000,N32273770,W085404810,W003.0,264,MOTON MUN,TUSKEGEE,AL,USA,NNNYNNNNNNYNNN,NNNNN,NNNN,N,N,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,34,20
06D,,4300,N48530390,W099371534,E005.0,1823,ROLLA MUN/LEONARD KRECH,ROLLA,ND,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,37,22
06N,,2800,N41255488,W074232962,W013.0,523,RANDALL,MIDDLETOWN,NY,USA,NNNNNNNNNNNNNN,NNNNN,NNNN,N,N,N,N,U,Y,+5:00=UTC,K6,Y,NAW,39,23
07F,,3200,N32314380,W094581830,E003.0,297,GLADEWATER MUN,GLADEWATER,TX,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,42,25
07K,,3700,N41064540,W098030620,E005.0,1717,CENTRAL CITY MUN/LARRY REINEKE,CENTRAL CITY,NE,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,,N,N,Y,N,Y,+6:00=UTC,K3,Y,NAW,45,27
08A,,3000,N32313840,W086195170,W003.0,197,WETUMPKA MUN,WETUMPKA,AL,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,N,N,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,48,29
08D,,3900,N48180318,W102242431,E007.0,2250,STANLEY MUN,STANLEY,ND,USA,NNNYNNYNNNYNNN,NNNNN,NNNN,N,N,N,Y,N,Y,+6:00=UTC,K3,Y,NAW,51,31
08K,,3700,N40390480,W098044760,E005.0,1815,HARVARD STATE,HARVARD,NE,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,N,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,53,32
08N,,2600,N40172959,W076194349,W012.0,550,KELLER BROTHERS,LEBANON,PA,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,N,N,N,Y,U,Y,+5:00=UTC,K6,Y,NAW,56,34
09A,,4000,N32070950,W088073890,W003.0,134,BUTLER/CHOCTAW CO,BUTLER,AL,USA,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,59,36
09J,,3700,N31042810,W081254000,W005.0,11,JEKYLL ISLAND,JEKYLL ISLAND,GA,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+5:00=UTC,K7,Y,NAW,63,38
0A3,,4200,N35590760,W085483280,W004.0,1084,SMITHVILLE MUN,SMITHVILLE,TN,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,N,N,N,Y,N,Y,+6:00=UTC,K7,Y,NAW,66,40
0A8,,4200,N32561298,W087052597,W002.0,251,BIBB CO,CENTREVILLE,AL,USA,NNNNNNNNNNNNNN,NNNNN,NYNN,,N,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,69,42
0A9,,5000,N36221761,W082102181,W006.0,1593,ELIZABETHTON MUN,ELIZABETHTON,TN,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,N,N,N,N,U,Y,+5:00=UTC,K7,Y,NAW,72,44
0B1,,3800,N44253060,W070483570,W017.0,674,BETHEL REGL,BETHEL,ME,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,N,Y,N,Y,N,Y,+5:00=UTC,K6,Y,NAW,75,45
0B4,,3900,N42361110,W097151260,E006.0,1388,HARTINGTON MUN/BUD BECKER,HARTINGTON,NE,USA,NNNYNNNNNNNNNN,NNNNN,YYYY,N,N,N,Y,N,Y,+6:00=UTC,K3,Y,NAW,80,47
0B5,,3200,N42352980,W072312280,W015.0,359,TURNERS FALLS,MONTAGUE,MA,USA,NNNYNNNNNYNNNN,NNNNN,NNYY,,N,N,Y,U,Y,+5:00=UTC,K6,Y,NAW,83,49
0B8,FID,2300,N41150770,W072015390,W014.0,7,ELIZABETH,FISHERS ISLAND,NY,USA,NNNNNNNNNNNNNN,NNNNN,NNNN,Y,N,N,N,U,Y,+5:00=UTC,K6,Y,NAW,87,50
0C4,,3600,N42064831,W096434013,E004.0,1345,PENDER MUN,PENDER,NE,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,89,51
0D8,,4400,N44591180,W099571040,E008.0,2062,GETTYSBURG MUN,GETTYSBURG,SD,USA,NNNYNNNNYNNNNN,NNNNN,YYNN,N,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,92,53
0E0,,7700,N34584140,W106000010,E011.0,6204,MORIARTY MUN,MORIARTY,NM,USA,NNNYNNNNYNNNNN,NNNYN,NNYY,N,N,N,Y,N,Y,+7:00=UTC,K2,Y,NAW,95,55
0F2,,3600,N33360600,W097463200,E004.0,1101,BOWIE MUN,BOWIE,TX,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,98,57
0F4,,3900,N41171090,W098592410,E005.0,2073,LOUP CITY MUN,LOUP CITY,NE,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,101,59
0G3,,3500,N40240340,W096101360,E003.0,1306,TECUMSEH MUN,TECUMSEH,NE,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,104,61
0G6,,4700,N41280230,W084302440,W005.0,730,WILLIAMS CO,BRYAN,OH,USA,NNNYNNNNNNYNNN,NNNNY,NNYY,,N,N,Y,U,Y,+5:00=UTC,K5,Y,NAW,107,63
0G7,,4500,N42530080,W076465220,W012.0,492,FINGER LAKES REGL,SENECA FALLS,NY,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,Y,N,N,Y,U,Y,+5:00=UTC,K6,Y,NAW,110,65
0H1,,4000,N39002350,W099533460,E005.0,2439,TREGO WAKEENEY,WAKEENEY,KS,USA,NNNNNNNNNNNNNN,NNNNN,NYNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,113,67
0I2,,2900,N39283625,W087055895,W004.0,645,BRAZIL CLAY CO,BRAZIL,IN,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,N,N,N,Y,N,Y,+5:00=UTC,K5,Y,NAW,116,69
0I8,,3800,N38215819,W084170004,W006.0,721,CYNTHIANA-HARRISON CO,CYNTHIANA,KY,USA,NNNYNNNNNNNNNN,NNNNN,YYNN,,N,N,Y,U,Y,+5:00=UTC,K5,Y,NAW,118,70
0J4,,3100,N31023291,W086184162,W002.0,314,FLORALA MUN,FLORALA,AL,USA,NNNYNNNNYNNNNN,NNYNN,NNYY,,Y,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,121,72
0M0,,5000,N33530430,W091320340,E001.0,164,FREE MUN,DUMAS,AR,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,123,73
0M3,,4000,N35324551,W087355037,W001.0,972,BRIDGES,HOHENWALD,TN,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,N,N,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,125,74
0M4,,5000,N36003435,W088072902,W002.0,468,BENTON CO,CAMDEN,TN,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,N,N,N,Y,N,Y,+6:00=UTC,K7,Y,NAW,127,75
0M5,,4000,N36065980,W087441740,W002.0,756,HUMPHREYS CO,WAVERLY,TN,USA,NNNYNNNNNNYNNN,NNNNN,NNNN,N,N,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,130,77
0R0,,5500,N31175225,W089484135,E000.0,270,COLUMBIA/MARION CO,COLUMBIA,MS,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,,Y,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,133,79
0R1,,5000,N31005840,W087264830,W003.0,286,ATMORE MUN,ATMORE,AL,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,,Y,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,137,81
0R4,,3700,N31334320,W091302330,E000.0,55,CONCORDIA PARISH,VIDALIA,LA,USA,NNNYNNNNNNNNNN,NNNNN,YYNN,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,140,83
0R5,,3000,N31574918,W092393694,E002.0,146,JOYCE,WINNFIELD,LA,USA,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,143,85
0R7,,5000,N31592500,W093182740,E001.0,177,THE RED RIVER,COUSHATTA,LA,USA,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,146,87
0S9,TWD,3000,N48031370,W122483830,E016.0,110,JEFFERSON CO INTL,PORT TOWNSEND,WA,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,N,N,N,Y,Y,Y,+8:00=UTC,K1,Y,NAW,148,88
0V3,,3900,N40305370,W098564430,E007.0,2160,PIONEER VILLAGE,MINDEN,NE,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,Y,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,150,89
0V4,,3700,N37083020,W079005900,W009.0,597,BROOKNEAL-CAMPBELL CO,BROOKNEAL,VA,USA,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,N,Y,+5:00=UTC,K6,Y,NAW,153,91
0VG,,5000,N36391471,W083130425,W006.0,1411,LEE CO,JONESVILLE,VA,USA,NNNYNNNNNNYNNN,NNNNN,NNNN,N,N,N,Y,U,Y,+5:00=UTC,K6,Y,NAW,156,93
0W3,,2800,N39340552,W076121067,W011.0,412,HARFORD CO,CHURCHVILLE,MD,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,N,N,N,Y,N,Y,+5:00=UTC,K6,Y,NAW,159,95
10C,,2800,N42241040,W088223040,W002.0,875,GALT,GREENWOOD/WONDER LAKE,IL,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,N,Y,N,Y,U,Y,+6:00=UTC,K5,Y,NAW,161,96
10G,,4400,N40321212,W081572139,W008.0,1227,HOLMES CO,MILLERSBURG,OH,USA,NNNYNNNNNNYNNN,NNNNN,NNYY,,N,N,Y,U,Y,+5:00=UTC,K5,Y,NAW,163,97
10U,,4700,N41571306,W116105545,E012.0,5377,OWYHEE,OWYHEE,NV,USA,NNNNNNNNNNNNNN,NNNNN,NNNN,N,N,N,Y,N,Y,+8:00=UTC,K2,Y,NAW,166,99
11A,,5000,N31525997,W085290681,W004.0,435,CLAYTON MUN,CLAYTON,AL,USA,NNNNNNNNNNNNNN,NNNNN,NNNN,N,N,N,Y,N,Y,+6:00=UTC,K7,Y,NAW,169,101
11R,,6000,N30131083,W096222785,E006.0,318,BRENHAM MUN,BRENHAM,TX,USA,NNNYNNNNYNNNNN,NNNNY,NNYY,N,N,N,Y,N,Y,+6:00=UTC,K4,Y,NAW,173,103
12D,,3400,N47490536,W092170984,W001.0,1370,TOWER MUN,TOWER,MN,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,N,U,Y,+6:00=UTC,K3,Y,NAW,176,105
12G,,3100,N40522230,W082415060,W006.4,1120,SHELBY COMMUNITY,SHELBY,OH,USA,NNNNNNNNNNNNNN,NNNNN,NNYY,,N,N,Y,U,Y,+5:00=UTC,K5,Y,NAW,180,107
12J,,5100,N31030256,W087040216,W001.0,99,BREWTON MUN,BREWTON,AL,USA,NNNYNNNNNNYNNN,NNNNN,NNYY,,Y,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,182,108
12K,,4300,N40024632,W098034052,E005.0,1692,SUPERIOR MUN,SUPERIOR,NE,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,188,113
12N,,1900,N41003103,W074441692,W013.0,583,AEROFLEX/ANDOVER,ANDOVER,NJ,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,N,N,N,Y,U,Y,+5:00=UTC,K6,Y,NAW,191,115
12V,,3100,N38262720,W082120280,W006.0,572,ONA,MILTON,WV,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,,Y,N,N,U,Y,+5:00=UTC,K6,Y,NAW,195,117
13C,,3400,N43270810,W085155270,W005.0,969,LAKEVIEW/GRIFFITH,LAKEVIEW,MI,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,N,N,N,Y,U,Y,+5:00=UTC,K5,Y,NAW,198,120
13K,,3500,N37510582,W096173129,E006.0,1208,LT MILLIKEN,EUREKA,KS,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,201,122
14A,,3100,N35364993,W080535795,W007.0,839,LAKE NORMAN,MOORESVILLE,NC,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,N,N,N,Y,U,Y,+5:00=UTC,K7,Y,NAW,204,124
14G,,4100,N41195910,W083094030,W005.0,663,FREMONT,FREMONT,OH,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,,Y,N,Y,U,Y,+5:00=UTC,K5,Y,NAW,207,125
14Y,,3500,N45535134,W094522504,E002.0,1332,TODD,LONG PRAIRIE,MN,USA,NNNYNNYNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,209,126
15F,,3400,N33112935,W099430434,E005.0,1625,HASKELL MUN,HASKELL,TX,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,211,127
15J,,5500,N31081233,W083271520,W004.0,235,COOK CO,ADEL,GA,USA,NNNYNNNNNNYNNN,NNNNN,NNYY,N,N,N,Y,N,Y,+5:00=UTC,K7,Y,NAW,213,128
15M,,4000,N34462400,W088095790,W003.0,626,IUKA,IUKA,MS,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,217,130
16D,,4100,N46363950,W095362200,E002.0,1376,PERHAM MUN,PERHAM,MN,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,221,132
16G,,4000,N41053860,W083124500,W005.0,786,SENECA CO,TIFFIN,OH,USA,NNNYNNNNNNYNNN,NYYYN,NNYY,N,N,N,Y,U,Y,+5:00=UTC,K5,Y,NAW,224,134
16J,,4500,N31443584,W084250945,W002.0,332,DAWSON MUN,DAWSON,GA,USA,NNNYNNNNNNNNNN,NNNNN,YYNN,N,N,N,Y,N,Y,+5:00=UTC,K7,Y,NAW,229,138
17G,,3800,N40465370,W082582930,W007.0,1008,PORT BUCYRUS/CRAWFORD CO,BUCYRUS,OH,USA,NNNYNNNNNNYNNN,NNNNN,NNYY,,N,N,Y,U,Y,+5:00=UTC,K5,Y,NAW,232,139
17J,,5500,N31002343,W084523949,W005.0,147,DONALSONVILLE MUN,DONALSONVILLE,GA,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,N,N,N,Y,N,Y,+5:00=UTC,K7,Y,NAW,236,142
17K,,4200,N36462750,W102303760,E009.0,4174,BOISE CITY,BOISE CITY,OK,USA,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,240,144
17M,,3100,N31514595,W089480221,W001.0,556,MAGEE MUN,MAGEE,MS,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,242,145
17N,,3500,N39421971,W075015881,W010.0,162,CROSS KEYS,CROSS KEYS,NJ,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,N,N,N,Y,U,Y,+5:00=UTC,K6,Y,NAW,245,147
18A,,5000,N34202530,W083075090,W005.0,890,FRANKLIN-HART,CANON,GA,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+5:00=UTC,K7,Y,NAW,248,148
18I,,2900,N36414340,W084232940,W005.0,1371,MC CREARY CO,PINE KNOT,KY,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+5:00=UTC,K5,Y,NAW,252,150
19M,,3100,N33073166,W090013201,E003.0,340,MOORE,LEXINGTON,MS,USA,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,255,152
19N,,3000,N39464240,W074565210,W012.0,150,PINE VALLEY,BERLIN,NJ,USA,NNNNNNNNYNNNNN,NNNNN,NNYY,N,N,N,Y,U,Y,+5:00=UTC,K6,Y,NAW,257,153
1A3,,3500,N35005694,W084204859,W005.0,1789,CAMPBELL,COPPERHILL,TN,USA,NNNYNNNNNNNNNN,NNNNN,YYNN,N,N,N,Y,U,Y,+5:00=UTC,K7,Y,NAW,262,156
1A5,,5000,N35132032,W083251199,W005.0,2034,MACON CO,FRANKLIN,NC,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,,N,N,Y,N,Y,+5:00=UTC,K7,Y,NAW,266,158
1A6,,3600,N36363694,W083441434,W005.0,1154,MIDDLESBORO/BELL CO,MIDDLESBORO,KY,USA,NNNYNNNNNNYNNN,NNNNN,NNYY,N,Y,N,N,U,Y,+5:00=UTC,K5,Y,NAW,269,159
1A9,,5400,N32261940,W086304570,W003.0,225,PRATTVILLE/GROUBY,PRATTVILLE,AL,USA,NNNYNNNNNNYNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,272,160
1B0,,3000,N45001623,W069141477,W018.0,533,DEXTER REGL,DEXTER,ME,USA,NNNYNNYNNNNNNN,NNNNN,NNNN,N,N,N,Y,U,Y,+5:00=UTC,K6,Y,NAW,276,162
1B1,HCC,5300,N42172870,W073423720,W013.0,198,COLUMBIA CO,HUDSON,NY,USA,NNNYNNNNNNNNNN,NYNYN,NYYN,,N,N,Y,P,Y,+5:00=UTC,K6,Y,NAW,279,164
1B6,,3100,N42062335,W071303632,W016.0,269,HOPEDALE INDUSTRIAL PARK,HOPEDALE,MA,USA,NNNNNNNNNNNNNN,NNNNN,NNNN,N,N,N,N,N,Y,+5:00=UTC,K6,Y,NAW,283,166
1B9,,3500,N42000317,W071115295,W016.0,123,MANSFIELD MUN,MANSFIELD,MA,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,N,N,N,Y,N,Y,+5:00=UTC,K6,Y,NAW,285,167
1C1,,3400,N40265632,W088073986,W003.0,779,PAXTON,PAXTON,IL,USA,NNNYNNYNNNNNNN,NNNNN,NNNN,N,N,N,Y,U,Y,+6:00=UTC,K5,Y,NAW,290,171
1C5,,3300,N41414530,W088074620,W004.0,675,BOLINGBROOK'S CLOW INTL,BOLINGBROOK,IL,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,,N,N,Y,U,Y,+6:00=UTC,K5,Y,NAW,293,173
1D1,,4000,N45134980,W096335790,E005.0,1118,MILBANK MUN,MILBANK,SD,USA,NNNYNNNNNNNNNN,NNNNN,YYNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,297,175
1D2,,2300,N42205210,W083272280,W005.0,696,CANTON-PLYMOUTH-METTETAL,PLYMOUTH,MI,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,Y,N,Y,U,Y,+5:00=UTC,K5,Y,NAW,299,176
1F0,AHD,5000,N34084910,W097072160,E004.0,845,ARDMORE DOWNTOWN EXECUTIVE,ARDMORE,OK,USA,NNNYNNNNYNNNNN,NNNNN,YYNN,,Y,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,302,177
1F4,,3000,N34082545,W096484332,E006.0,890,MADILL MUN,MADILL,OK,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,305,179
1G0,,4100,N41232760,W083374850,W005.0,673,WOOD CO,BOWLING GREEN,OH,USA,NNNYNNNNYNNNNN,NNNNN,YYNN,N,N,N,Y,U,Y,+5:00=UTC,K5,Y,NAW,307,180
1G1,,3000,N41195350,W082060090,W007.1,758,ELYRIA,ELYRIA,OH,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,,N,N,Y,U,Y,+5:00=UTC,K5,Y,NAW,312,184
1G3,,4000,N41090500,W081245440,W007.0,1134,KENT STATE UNIVERSITY,KENT,OH,USA,NNNYNNNNYYNNNN,NNNNN,NNNN,Y,N,N,Y,U,Y,+5:00=UTC,K5,Y,NAW,315,185
1G5,,3500,N41075320,W081455360,W007.0,1190,MEDINA MUN,MEDINA,OH,USA,NNNYNNNNNNYNNN,NNNNN,NNYY,N,N,N,Y,N,Y,+5:00=UTC,K5,Y,NAW,323,192
1H0,,4500,N38433840,W090303030,E000.0,462,CREVE COEUR,ST LOUIS,MO,USA,NNNYNNNNYNNNNN,NNNNN,NYYN,,N,N,Y,N,Y,+6:00=UTC,K3,Y,NAW,328,195
1H2,,5100,N39041360,W088320070,W001.0,585,EFFINGHAM CO MEML,EFFINGHAM,IL,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,N,N,N,Y,U,Y,+6:00=UTC,K5,Y,NAW,332,197
1H8,,4000,N39180903,W088001462,W003.0,655,CASEY MUN,CASEY,IL,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,,N,N,Y,U,Y,+6:00=UTC,K5,Y,NAW,338,200
1I9,,4000,N40322692,W086405328,W005.0,671,DELPHI MUN,DELPHI,IN,USA,NNNYNNNNNNNNNN,NNNNN,YYNN,N,N,N,Y,N,Y,+5:00=UTC,K5,Y,NAW,341,202
1K1,,5100,N37462800,W097064760,E004.0,1364,LLOYD STEARMAN FIELD,BENTON,KS,USA,NNNYNNNNYNNNNN,NYYYY,NNYY,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,344,204
1K4,,3000,N35091824,W097281342,E006.0,1169,PERRY,GOLDSBY,OK,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,N,N,N,Y,N,Y,+6:00=UTC,K4,Y,NAW,346,205
1K8,,4700,N36324690,W095004870,E002.0,783,SOUTH GRAND LAKE REGL,KETCHUM,OK,USA,NNNYNNNNYNNNNN,NNNNN,YYNN,,N,N,N,N,Y,+6:00=UTC,K4,Y,NAW,349,207
1L7,,5000,N37444330,W111341260,E014.0,5737,ESCALANTE MUN,ESCALANTE,UT,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,N,U,Y,+7:00=UTC,K2,Y,NAW,354,209
1M4,,5000,N34164920,W087360150,W001.0,930,POSEY,HALEYVILLE,AL,USA,NNNYNNNNNNYNNN,NNNNN,NNNN,,Y,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,357,211
1M5,,5000,N36353430,W086283690,W002.0,817,DOUGLAS HUNTER,PORTLAND,TN,USA,NNNYNNNNNNYNNN,NNNNN,NNYY,N,N,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,360,213
1M7,,4000,N36313230,W088550420,E003.0,404,FULTON,FULTON,KY,USA,NNNYNNNNNNNNNN,NNNNN,YYNN,N,N,N,Y,U,Y,+6:00=UTC,K5,Y,NAW,363,215
1MO,,2900,N37071510,W092183638,E001.0,1476,MOUNTAIN GROVE MEML,MOUNTAIN GROVE,MO,USA,NNNNNNNNNNNNNN,NNNNN,YNNY,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,366,216
1N7,,3100,N40581608,W074595101,W013.0,372,BLAIRSTOWN,BLAIRSTOWN,NJ,USA,NNNYNNNNNNNNNN,NNYNN,NNYY,N,Y,N,Y,U,Y,+5:00=UTC,K6,Y,NAW,369,218
1O2,,3600,N38592620,W122540260,E016.0,1380,LAMPSON,LAKEPORT,CA,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,,N,N,Y,U,Y,+8:00=UTC,K2,Y,NAW,372,220
1O3,,3500,N38120879,W121160891,E016.0,60,LODI,LODI,CA,USA,NNNYNNNNYNNNNN,NNNYN,NNYY,,N,N,Y,U,Y,+8:00=UTC,K2,Y,NAW,375,222
1O4,,3700,N35440120,W098434990,E005.0,1733,THOMAS MUN,THOMAS,OK,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,377,223
1QK,,4000,N39021892,W100140200,E005.0,2637,GOVE CO,QUINTER,KS,USA,NNNNNNNNNNNNNN,NNNNN,NNNN,N,N,N,Y,N,Y,+6:00=UTC,K3,Y,NAW,380,225
1R7,,5000,N31362100,W090243350,W001.0,492,BROOKHAVEN-LINCOLN CO,BROOKHAVEN,MS,USA,NNNYNNNNNNYNNN,NNNNN,NNNN,N,N,N,Y,N,Y,+6:00=UTC,K7,Y,NAW,383,227
1R8,,5500,N30521320,W087490960,E000.0,248,BAY MINETTE MUN,BAY MINETTE,AL,USA,NNNYNNNNNNYNNN,NNNNN,NNYY,,Y,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,385,228
1S3,,4700,N46161614,W106372605,E009.0,2729,TILLITT,FORSYTH,MT,USA,NNNNNNNNNNNNNN,NNNNN,NNYY,,N,N,Y,U,Y,+7:00=UTC,K1,Y,NAW,388,230
